name,release_date,developer,publisher,steamspy_tags,positive_ratings,negative_ratings,price
Counter-Strike,01/11/2000,Valve,Valve,"Action,FPS,Multiplayer",124534,3339,719
Team Fortress Classic,01/04/1999,Valve,Valve,"Action,FPS,Multiplayer",3318,633,399
Day of Defeat,01/05/2003,Valve,Valve,"FPS,World War II,Multiplayer",3416,398,399
Deathmatch Classic,01/06/2001,Valve,Valve,"Action,FPS,Multiplayer",1273,267,399
Half-Life: Opposing Force,01/11/1999,Gearbox Software,Valve,"FPS,Action,Sci-fi",5250,288,399
Ricochet,01/11/2000,Valve,Valve,"Action,FPS,Multiplayer",2758,684,399
Half-Life,08/11/1998,Valve,Valve,"FPS,Classic,Action",27755,1100,719
Counter-Strike: Condition Zero,01/03/2004,Valve,Valve,"Action,FPS,Multiplayer",12120,1439,719
Half-Life: Blue Shift,01/06/2001,Gearbox Software,Valve,"FPS,Action,Sci-fi",3822,420,399
Half-Life 2,16/11/2004,Valve,Valve,"FPS,Action,Sci-fi",67902,2419,719
Counter-Strike: Source,01/11/2004,Valve,Valve,"Action,FPS,Multiplayer",76640,3497,719
Half-Life: Source,01/06/2004,Valve,Valve,"FPS,Action,Sci-fi",3767,1053,0
Day of Defeat: Source,12/07/2010,Valve,Valve,"FPS,World War II,Multiplayer",10489,1210,719
Half-Life 2: Deathmatch,01/11/2004,Valve,Valve,"Action,FPS,Multiplayer",6020,787,399
Half-Life 2: Lost Coast,27/10/2005,Valve,Valve,"FPS,Action,Singleplayer",5783,1020,0
Half-Life Deathmatch: Source,01/05/2006,Valve,Valve,"Action,FPS,Multiplayer",1362,473,0
Half-Life 2: Episode One,01/06/2006,Valve,Valve,"FPS,Action,Sci-fi",7908,517,579
Portal,10/10/2007,Valve,Valve,"Puzzle,First-Person,Singleplayer",51801,1080,719
Half-Life 2: Episode Two,10/10/2007,Valve,Valve,"FPS,Action,Sci-fi",13902,696,579
Team Fortress 2,10/10/2007,Valve,Valve,"Free to Play,Multiplayer,FPS",515879,34036,0
Left 4 Dead,17/11/2008,Valve,Valve,"Zombies,Co-op,FPS",17951,948,719
Left 4 Dead 2,19/11/2009,Valve,Valve,"Zombies,Co-op,FPS",251789,8418,719
Dota 2,09/07/2013,Valve,Valve,"Free to Play,MOBA,Strategy",863507,142079,0
Portal 2,18/04/2011,Valve,Valve,"Puzzle,Co-op,First-Person",138220,1891,719
Alien Swarm,19/07/2010,Valve,Valve,"Free to Play,Co-op,Action",17435,941,0
Counter-Strike: Global Offensive,21/08/2012,"Valve,Hidden Path Entertainment",Valve,"FPS,Multiplayer,Shooter",2644404,402313,0
Source Filmmaker,10/07/2012,Valve,Valve,"Animation & Modeling,Video Production,Free to Play",15083,1111,0
Dark Messiah of Might & Magic,25/10/2006,Arkane Studios,Ubisoft,"RPG,Action,First-Person",4386,316,429
Bloody Good Time,29/10/2010,Outerlight Ltd.,Ubisoft,"Action,Multiplayer,FPS",662,204,429
Vampire: The Masquerade - Bloodlines,22/03/2007,Troika Games,Activision,"RPG,Vampire,Cult Classic",6161,362,1499
GUN™,13/10/2006,Neversoft,Activision,"Western,Action,Open World",740,87,999
Call of Duty®,13/10/2006,Infinity Ward,Activision,"FPS,World War II,Action",1555,117,1499
Call of Duty: United Offensive,13/10/2006,Gray Matter Studios,Activision,"Action,World War II,FPS",490,97,1499
Garry's Mod,29/11/2006,Facepunch Studios,Valve,"Sandbox,Multiplayer,Funny",363721,16433,699
Company of Heroes - Legacy Edition,17/07/2007,Relic Entertainment,SEGA,"Strategy,RTS,World War II",4772,320,0
Warhammer® 40000: Dawn of War® - Game of the Year Edition,07/08/2007,Relic Entertainment,SEGA,"Strategy,Warhammer 40K,RTS",3485,206,999
Warhammer® 40000: Dawn of War® - Dark Crusade,07/08/2007,Relic Entertainment,SEGA,"Strategy,Warhammer 40K,RTS",2849,133,999
Condemned: Criminal Origins,29/10/2012,Monolith,SEGA,"Horror,Action,Atmospheric",1243,221,999
Rome: Total War™ - Collection,28/08/2007,CREATIVE ASSEMBLY,SEGA,"Strategy,Historical,Rome",7806,562,899
Rome: Total War™ - Alexander,28/08/2007,The Creative Assembly,SEGA,"Strategy,RTS,Historical",331,131,899
Battlestations: Midway,15/03/2007,Eidos Interactive,Square Enix,"Action,World War II,Naval",316,113,499
Just Cause,15/03/2007,Avalanche Studios,Square Enix,"Action,Open World,Shooter",1732,846,499
Deus Ex: Game of the Year Edition,29/03/2007,Ion Storm,Square Enix,"Cyberpunk,RPG,Stealth",6242,347,499
